STATE,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
PUERTO RICO,1999,June,Flood,0,0,0,0,
VIRGIN ISLANDS,1999,June,Thunderstorm Wind,0,0,0,0,
FLORIDA,1999,June,Thunderstorm Wind,0,0,0,0,5K
FLORIDA,1999,June,Thunderstorm Wind,0,0,0,0,1K
FLORIDA,1999,June,Thunderstorm Wind,0,0,0,0,25K
FLORIDA,1999,June,Hail,0,0,0,0,
FLORIDA,1999,June,Lightning,2,0,0,0,
TEXAS,1999,June,Flash Flood,0,0,0,0,
NEW MEXICO,1999,July,Flash Flood,0,0,0,0,
TEXAS,1999,July,Thunderstorm Wind,0,0,0,0,
TEXAS,1999,July,Flash Flood,0,0,0,0,
TEXAS,1999,July,Hail,0,0,0,0,
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,50K
NEW YORK,1999,July,Thunderstorm Wind,0,0,0,0,20K
NEW YORK,1999,July,Thunderstorm Wind,0,0,0,0,15K
NEW YORK,1999,July,Thunderstorm Wind,0,0,0,0,20K
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,
OKLAHOMA,1999,August,Thunderstorm Wind,0,0,0,0,.2K
NEW MEXICO,1999,July,Flash Flood,0,0,0,0,
NEW MEXICO,1999,July,Flash Flood,0,0,0,0,
NEW MEXICO,1999,July,Hail,0,0,0,0,
NEW YORK,1999,July,Thunderstorm Wind,0,0,0,0,20K
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
TEXAS,1999,April,Hail,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,50K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,10K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,50K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,5K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,5K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Heat,0,0,0,0,
SOUTH CAROLINA,1999,September,Hurricane (Typhoon),0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,2K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,1K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Hail,0,0,0,0,
WEST VIRGINIA,1999,August,Drought,0,0,0,0,
WEST VIRGINIA,1999,August,Drought,0,0,0,0,
WEST VIRGINIA,1999,August,Drought,0,0,0,0,
WEST VIRGINIA,1999,August,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,September,Drought,0,0,0,0,
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,25K
PENNSYLVANIA,1999,July,Hail,0,0,0,0,
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Flash Flood,0,0,0,0,20K
MINNESOTA,1999,July,Funnel Cloud,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Tornado,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Tornado,0,0,0,0,
MINNESOTA,1999,July,Tornado,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
WISCONSIN,1999,July,Heat,0,0,0,0,
PENNSYLVANIA,1999,August,Waterspout,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Flash Flood,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Hail,0,0,0,0,
KANSAS,1999,August,Thunderstorm Wind,0,0,0,0,5K
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,5K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,75K
SOUTH CAROLINA,1999,August,Thunderstorm Wind,0,0,0,0,
OHIO,1999,August,Drought,0,0,0,0,
NORTH CAROLINA,1999,August,Hail,0,0,0,0,
SOUTH CAROLINA,1999,August,Lightning,1,0,0,0,
NORTH CAROLINA,1999,August,Hail,0,0,0,0,
NORTH CAROLINA,1999,August,Hail,0,0,0,0,
VIRGINIA,1999,August,Drought,0,0,0,0,
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,200K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
PENNSYLVANIA,1999,July,Thunderstorm Wind,0,0,0,0,3K
